original,normalized,website
SS ASSET MANAGEMENT LIMITED,Right Management,rightmanagement.com
"SSI SCHAEFER SISTEMAS INTERNACIONAL, S.L.",Ssi Schaefer Sistemas Internacional,ssi-schaefer.com
ST ALBANS DISTRICT COUNCIL,St Albans District Council,stalbans.gov.uk
ST HELENS METROPOLITAN BOROUGH COUN,St Helens Metropolitan Borough Council,sthelens.gov.uk
ST JOHNS MEDICAL CENTRE,St Johns Medical Centre,
STAFFORD BOROUGH COUNCIL,Watford Borough Council,dartford.gov.uk
STAFFORDSHIRE MOORLANDS DISTRICT CO,Staffordshire Moorlands District Council,staffordshiremoorlands.gov.uk
STANSTED AIRPORT LIMITED,Stansted Airport Ltd.,stanstedairport.com
STANTON HOUSE,Stanton House,
STAR STONE PROPERTY GROUP,Star Stone Property Group,
STARCITY PROPERTIES LIMITED,Rae Properties Ltd.,
STARFISH 9 LIMITED,Starfish 9 Ltd.,
STATES OF GUERNSEY ELECTRICITY,States of Guernsey Electricity,
STEERSIDE LIMITED,Steerside Ltd.,
STENSTROM CONSULTING SPRL,Stenstrom Consulting,
STEPHANIE RICHARDSON,Stephanie Richardson,
STERLING COUNCIL,Sterling Council,
STEVENAGE BOROUGH COUNCIL,Stevenage Borough Council,stevenage.gov.uk
STIBO SYSTEMS A S,Stibo Systems Ltd.,stibosystems.com
STIBO SYSTEMS LIMITED,Stibo Systems Ltd.,stibosystems.com
STILES HAROLD WILLIAMS LIMITED,Stiles Harold Williams Ltd.,
STOCK PAGE STOCK LIMITED,Stock Page Stock Ltd.,
STOCKPORT METROPOLITAN BOROUGH COUN,Stockport Metropolitan Borough Council,
STOCKSBRIDGE REGENERATION COMPANY,Stocksbridge Regeneration Co.,
STOCKTON ON TEES BOROUGH COUNCIL,Stockton on Tees Borough Council,stockton.gov.uk
STOLZLE CZESTOCHOWA SP ZOO,Stolzle Czestochowa Sp. Z O. o.,stolzle.com
STONELINK INVESTMENT MANAGEMENT LIM,Stonelink Investment Management,
STORE PROPERTY INVESTMENTS LIMITED,Imre Property Investments Ltd.,
STOTT & MAY PROFESSIONAL SEARCH LIMITED,Stott & May Professional Search,
STRATEGIC PROPERTY MANAGEMENT LIMIT,Strategic Property Management Ltd.,
STRATFORD UTILITIES LIMITED,Stratford Utilities Ltd.,
STRATFORD-ON-AVON DISTRICT COUNCIL,Stratford-On-Avon District Council,stratford.gov.uk
STRATUS UK LIMITED,Stratus UK Ltd.,
STRETTONS LIMITED,Strettons Ltd.,
STROUD DISTRICT COUNCIL,Stroud District Council,strouddistrictcouncil.gov.uk
STRUTT AND PARKER,Strutt & Parker,struttandparker.com
SUDALE SEARCH & SELECT LTD,Sudal Search and Select,
SUFFOLK LIFE PENSIONS LIMITED,Suffolk Life Pensions Ltd.,
SUMMERFIELD ESTATES LIMITED,Summerfield Estates Ltd.,
SUMMERS INMAN CONSTRUCTION AND,Summers Inman Construction,
SURREY AND SUSSEX HEALTHCARE NHS TR,Surrey and Sussex Healthcare NHS Trust,surreyandsussex.nhs.uk
SURREY HEATH BOROUGH COUNCIL,Surrey Heath Borough Council,surreyheath.gov.uk
SUSAN LACON CALLAGHAN,Susan Lacon Callaghan,
SWALE BOROUGH COUNCIL,Swale Borough Council,swale.gov.uk
SWANMORE ESTATES LIMITED,Swanmore Estates Ltd.,
SWANSEA VIEW LIMITED,Swansea View Ltd.,
SWIFTQUEUE TECHNOLOGIES LIMITED,Swiftqueue Technologies Ltd.,swiftqueue.com
SWINDON BOROUGH COUNCIL,Warrington Borough Council,warrington.gov.uk
SWISS POST SOLUTIONS LIMITED,Swiss Post Solutions Ltd.,swisspost.com
SWS GROUP T/AS DAVID FITZMAURICE &,Sws Group,
SYM AI LIMITED,Sym AI Ltd.,
SYNERGY CONSULTING & RECRUITMENT,Synergy Consulting & Recruitment,
SYNERGY CRS LTD,Synergy Crs Ltd.,
SYNERGY LIGHTING LIMITED,Synergy Lighting Ltd.,
SYNERGY PACKAGING SOLUTIONS LIMITED,Synergy Packaging Solutions Ltd.,
SYNERGY UK PROPERTIES LIMITED,Synergy UK Properties Ltd.,
SYSTEM1 RESEARCH LIMITED,System1 Research Ltd.,system1.com
SYSTEM1 RESEARCH LTD,System1 Research Ltd.,system1.com
SYSTEMS ACCOUNTANTS LIMITED,Systems Accountants Ltd.,
TACT GROUP LIMITED,Tact Group Ltd.,
TALEND LTD,Talend Ltd.,talend.com
TALENTSHED GROUP LIMITED,Talentshed Group Ltd.,
TALKDESK INC,Talkdesk Inc.,talkdesk.com
TALLAGHT SHOPPING CENTRE LIMITED,Tallaght Shopping Centre,
TALOGY LIMITED,Talogy Ltd.,
TAMESIDE METROPOLITAN BOROUGH,Tameside Metropolitan Borough,
TAMWORTH BOROUGH COUNCIL,Tamworth Borough Council,tamworth.gov.uk
TANDEM PROPERTY ASSET MANAGEMENT LL,Tandem Property Asset Management LLC,
TANDRIDGE DISTRICT COUNCIL,Tandridge District Council,teignbridge.gov.uk
TATA CONSULTANCY SERVICES LIMITED,Tata Consultancy Services,tcs.com
TAYLOR MARTIN PROPERTY MANAGEMENT,Taylor Martin Property Management,
TAYLOR-MILLER LIMITED,Taylor-Miller Ltd.,
TCM TECHNOLOGY LTD,Tcm Technology Ltd.,
TDK COMMERCIAL PROPERTY CONSULTANTS,Tdk Commercial Property Consultants,
TEAM LOCUM LIMITED,Team Locum Ltd.,
TED KELLEHER TA MACROOM VILLA,Ted Kelleher's Macroom Villa,
TEIGNBRIDGE DISTRICT COUNCIL,Tandridge District Council,teignbridge.gov.uk
TELECOM SERVICE CENTRES LIMITED (T/A WEBHELP),Telecom Service Centres Ltd.,
TELFORD AND WREKIN COUNCIL,Telford & Wrekin Council,telford.gov.uk
TENDRING DISTRICT COUNCIL,Tandridge District Council,teignbridge.gov.uk
TEQUALS0 LIMITED,Tequals Ltd.,
TERASOFT IT LIMITED,Terasoft IT Ltd.,
TESCO IRELAND LIMITED,Iss Ireland Ltd.,ie.issworld.com
TESCO STORES LIMITED,Tesco Stores Ltd.,tescoplc.com
TEST VALLEY BOROUGH COUNCIL,Amber Valley Borough Council,testvalley.gov.uk
TEVIR PROPERTIES IOM LIMITED,Tevir Properties Iom Ltd.,
TEWKESBURY BOROUGH COUNCIL,Tewkesbury Borough Council,tewkesbury.gov.uk
TGW LIMITED,Tgw Ltd.,
THAMESWEY ENERGY LIMITED,Thameswey Energy Ltd.,
THANET DISTRICT COUNCIL,Thanet District Council,thanet.gov.uk
THATCHAM MEDICAL PRACTICE,Thatcham Medical Practice,
THE ARGONAUT PENSION FUND,The Argonaut Pension Fund,
THE AUDIT AND RISK RECRUITMENT COMPANY,The Audit & Risk Recruitment Co.,
THE BARCODE WAREHOUSE LIMITED,The Barcode Warehouse,barcodewarehouse.co.uk
THE BEST CONNECTION GROUP LIMITED,The Best Connection Group,thebestconnectiongroup.com
THE BRITISH LAND COMPANY PLC,The British Land Co.,britishland.com
THE CECIL ROSEN CHARITABLE TRUST,The Cecil Rosen Charitable Trust,
THE CITY AND COUNTY OF SWANSEA,City & County of Swansea,swansea.gov.uk
THE COLLEGE OF OPTOMETRISTS,The College of Optometrists,optometrists.org.uk
THE CROWN ESTATE COMMISSIONERS,The Crown Estate Commissioners,crownestate.co.uk
THE CULSHAW PARTNERSHIP LLP,The Culshaw Partnership,
THE DASHMESH TRUST,The Dashmesh Trust,
THE DIGITAL BOARD,The Digital Board,
THE DOCTORS LABORATORY LIMITED,The Doctors Laboratory,thedoctorslaboratory.com
THE DOUGLAS COURT PARTNERSHIP,The Douglas Court Partnership,
THE EVESHAM PARTNERSHIP,The Evesham Partnership,
THE FIG SISTERS LIMITED,The Fig Sisters,
THE FISER GROUP LIMITED,The Silver X Group Ltd.,
THE GAP PARTNERSHIP LIMITED,The Gap Partnership Ltd.,gap.inc
THE GIFT VOUCHER SHOP,The Gift Voucher Shop,
THE GIFT VOUCHER SHOP LIMITED,The Gift Voucher Shop,
THE GRASS ROOTS GROUP UK LIMITED,The Grass Roots Group,
THE GREAT VICTORIA PARTNERSHIP GP,The Great Victoria Partnership,
THE HADLEIGH PRACTICE,The Hadleigh Practice,
THE HARBOROUGH HARE LIMITED,The Harborough Hare,
THE HIGHLAND COUNCIL,The Highland Council,highland.gov.uk
THE HOLLINS MURRAY GROUP LIMITED,The Hollins Murray Group,
THE HUT COM LIMITED,The Hut Co. Ltd.,thehut.com
THE HYGIENE BANK,The Hygiene Bank,thehygienebank.com
THE INSTITUTE OF TRADE MARK ATTORNE,The Institute of Trademark Attorneys,
THE JJ PENSION SCHEME,The Jj Pension Scheme,
THE LEEDS TEACHING HOSPITALS NHS TR,Leeds Teaching Hospitals NHS Trust,leedsth.nhs.uk
THE LETTERKENNY CO OWNERSHIP,The Letterkenny Co.,
THE MALTINGS ORGANIC TREATMENT LIMI,The Maltings Organic Treatment Ltd.,
THE MANCHESTER AIRPORT GROUP PLC,The Manchester Airport Group,manchesterairport.co.uk
THE MARKET RESEARCH SOCIETY,The Market Research Society,mrs.org.uk
THE MORAY COUNCIL,The Moray Council,moray.gov.uk
THE NEASDEN LAND COMPANY LIMITED,The Neasden Land Co. Ltd.,
THE NEIGHBOURHOOD SERVICES COMPANY,The Neighbourhood Services Co.,
THE NEWBOULD FAMILY PARTNERSHIP,Newbould Family Partnership,
THE NFU MUTUAL INSURANCE SOCIETY LI,Nfu Mutual Insurance Society,nfumutual.co.uk
THE NPD GROUP LIMITED,The Npd Group,npd.com
THE OPTOPLAST MANUFACTURING COMPANY,The Optoplast Manufacturing Co.,
THE PEOPLE OF LIMITED,The People of Ltd.,
THE PHARMACEUTICAL PRESS,The Pharmaceutical Press,
THE PHARMACEUTICAL SOCIETY OF IRELA,The Pharmaceutical Society of Ireland,
THE PRINCES TRUST,The Princes Trust,princes-trust.org.uk
THE QUEENS COLLEGE OXFORD,The Queens College,queens.ox.ac.uk
THE ROSS JAYE EXECUTIVE PENSION FUN,The Ross Jaye Executive Pension Fund,
THE ROTHERHAM NHS FOUNDATION TRUST,Rotherham NHS Foundation Trust,therotherhamft.nhs.uk
THE ROYAL PHAMACEUTICAL SOCIETY,The Royal Pharmaceutical Society,
THE SILVER X GROUP LIMITED,The Silver X Group Ltd.,
THE SKELMERSDALE LIMITED PARTNERSHI,The Skelmersdale Ltd.,
THE SMART CUBE LIMITED,The Smart Cube Ltd.,
THE SOURCING CONCIERGE LIMITED,The Sourcing Concierge,
THE SQUARE MANAGEMENT LIMITED,The Square Management Ltd.,
THE SR GROUP,The Sr Group,
THE TRAFFORD CENTRE LIMITED,The Trafford Centre,traffordcentre.co.uk
THE TREASURY RECRUITMENT COMPANY,The Treasury Recruitment Co.,
THE TRUSTEES OF JB AUCOTT,The Trustees of Jb Aucott,
THE TRUSTEES OF THE FE NORBURN,The Trustees of the Fe Norburn,
THE TRUSTEES OF WELLINGTON MEDICAL,The Trustees of Wellington Medical,
THE UNIVERSITY OF MANCHESTER,The University of Manchester,manchester.ac.uk
THE UNIVERSITY OF NOTTINGHAM,The University of Nottingham,nottingham.ac.uk
THE USER EXPERIENCE AGENCY LIMITED,The User Experience Agency,
THE VALE OF GLAMORGAN COUNCIL,Vale of Glamorgan Council,valeofglamorgan.gov.uk
THE WARD TRUST,The Ward Trust,
THEA PROPERTY LIMITED,Ehj Property Ltd.,
THERMATIC TECHNICAL FM LIMITED,Thermatic Technical Fm Ltd.,
THEWAINS LIMITED,Thewains Ltd.,
THINK PRODUCTIVE LIMITED,Think Productive Ltd.,
THOMAS LAWRENCE & SONS BRACKNELL,Thomas Lawrence & Sons,
THOMAS MCDERMOTT,Thomas Mcdermott,
THOMAS WARD LIMITED,Thomas Ward Ltd.,
THORBURN PROPERTIES LIMITED,Youmar Properties Ltd.,
THREADNEEDLE PENSIONS LIMITED,Threadneedle Pensions Ltd.,threadneedle.com
THREADNEEDLE PORTFOLIO SERVICES LIM,Threadneedle Pensions Ltd.,threadneedle.com
THREADNEEDLE UK PROPERTY AUTHORISED,Threadneedle UK Property,
THREE IRELAND SERVICES HUTCHISON LI,Three Ireland Services,three.ie
THREE RIVERS DISTRICT COUNCIL,Three Rivers District Council,threerivers.gov.uk
THREE RIVERS PROPERTY INVESTMENTS,Three Rivers Property Investments,
THREEFOLD AGENCY LIMITED,Threefold Agency Ltd.,
THREEFOLD AGENCY LTD,Threefold Agency Ltd.,
THURROCK COUNCIL,Thurrock Council,thurrock.gov.uk
TIDEWAY INVESTMENT MANAGEMENT LIMIT,Tideway Investment Management Ltd.,
TILA COMMERCIAL LIMITED,Tila Commercial Ltd.,
TMS INSIGHT DATA CAPTURE LIMITED,Tms Insight Data Capture Ltd.,
TNH LIMITED,Tnh Ltd.,
TONBRIDGE AND MALLING BOROUGH COUNC,Tonbridge and Malling Borough Council,
TOO FACED,Too Faced,toofaced.com
TOP BANANA COMMUNICATION LIMITED,Top Banana Communication Ltd.,
TOPCON GB LIMITED,Topcon Great Britain Medical Ltd.,topcon.com
TOPCON GREAT BRITAIN MEDICAL BRANCH,Topcon Great Britain Medical Ltd.,topcon.com
TOPCON GREAT BRITAIN MEDICAL LIMITE,Topcon Great Britain Medical Ltd.,topcon.com
TOPKINS HEALTHCARE LIMITED,Popson Healthcare Ltd.,
TOPLAND VINTAGE RETAIL LIMITED,Topland Vintage Retail Ltd.,
TOPSET INVESTMENTS GROUP LIMITED,Topset Investments Group Ltd.,
TORBAY COUNCIL,Torbay Council,torbry.gov.uk
TORFAEN COUNTY BOROUGH COUNCIL,Bridgend County Borough Council,bridgend.gov.uk
TORRIDGE DISTRICT COUNCIL,Tandridge District Council,teignbridge.gov.uk
TOSHIBA GLOBAL COMMERCE SOLUTIONS U,Toshiba Global Commerce Solutions,commerce.toshiba.com
TOTAL TITAN HOLDINGS LIMITED,Total Titan Holdings Ltd.,
TOTALENERGIES GAS & POWER LIMITED,Totalenergies Gas & Power,totalenergies.com
TOTALENERGIES GAS AND POWER LIMITED,Totalenergies Gas & Power,totalenergies.com
TOTALIS SOLUTIONS LIMITED,Totalis Solutions Ltd.,
TOWER 1 LIMITED,Tower 1 Ltd.,
TQSA LIMITED,Tqsa Ltd.,
TRAFALGAR LEISURE LIMITED,Trafalgar Leisure Ltd.,
TRAFFORD METROPOLITAN BOROUGH COUNC,Trafford Metropolitan Borough Council,
TRAMP INVESTMENT HOLDINGS LIMITED,Tramp Investment Holdings Ltd.,
TRAVEL POINT TRADING LIMITED,Travel Point Trading Ltd.,
TRESCOBEAS SURGERY,Tresco Beas Surgery,
TREVOR CULLEN,Trevor Cullen,
TREVOR TOYS LIMITED,Trevor Toys Ltd.,
TRIMMING WILLIS & CO LIMITED,Trimming Willis & Co.,
TRINITY MCQUEEN LIMITED,Trinity Mcqueen Ltd.,
TRIOS SECURE LIMITED,Trios Secure Ltd.,
TROWBRIDGE HEALTH CENTRE,Trowbridge Health Centre,
TRUSTEES OF D W CAMERON DECEASED,Trustees of D W Cameron,
TRUSTEES OF WEIDENBAUM PENSION TRUS,Trustees of Weidenbaum Pension Trust,
TRUSTEES TRAFFORD CENTRE LTD,Trustees Trafford Centre,
TSS TOTAL SECURITY SERVICES LIMITED,Tss Total Security Services Ltd.,
TUNBRIDGE WELLS BOROUGH COUNCIL,Tunbridge Wells Borough Council,tunbridgewells.gov.uk
TURRET PROPERTY INVESTMENTS LIMITED,Imre Property Investments Ltd.,
TUSCAN HOLDINGS LIMITED,Tuscan Holdings Ltd.,
TUSKERDIRECT LIMITED,Tuskerdirect Ltd.,tuskerdirect.com
TWILIO IRELAND LIMITED,Twilio Ireland Ltd.,twilio.com
TWILIO IRELAND LTD,Twilio Ireland Ltd.,twilio.com
TWO CREATE STUDIO LIMITED,Two Create Studio,
TWOLEAF PROPERTY MANAGEMENT LIMITED,Fortem Property Management,
TWOS COMPANY TRAINING LIMITED,Twos Co.,
UBER EATS UK LIMITED,Uber Eats,ubereats.com
UBT EU LIMITED,Ubt Eu Ltd.,
UDEMY INC,Udemy Inc.,udemy.com
UGP BRIDGEWATER SC LIMITED,Ugp Bridgewater Sc Ltd.,
UK CLOUD,UK Cloud,
UK FASHION AND TEXTILE ASSOCIATION,UK Fashion & Textile Association,ukfta.org.uk
UK GLASSFORCE LIMITED,UK Glassforce Ltd.,
UK LOCUM SERVICES,UK Locum Services,uklocum.com
UK MAIL LIMITED,UK Mail Ltd.,ukmail.com
UK PROPERTIES LLC,UK Properties,
UKBAR LIMITED,Ruart Ltd.,
ULSTER SUPPORTED EMPLOYMENT LTD,Ulster Supported Employment Ltd.,
UNA MARGARET KELLY AND JOANNA ELIZA,Una Margaret Kelly & Joanna Eliza,
UNDERWOOD CARPENTER LIMITED,Underwood Carpenter Ltd.,
UNIPHAR WHOLESALE LIMITED,Uniphar Wholesale Ltd.,uniphar.ie
UNITED DRUG PLC LIMERICK,United Drug PLC,
UNITED DRUG WHOLESALE BALLINA,United Drug Wholesale,
UNITED DRUG WHOLESALE LIMITED,United Drug Wholesale Ltd.,
UNIVERSAL STUDIOS LIMITED,Universal Studios,universalstudios.com
UNIVERSITY OF BRADFORD,University of Bradford,bradford.ac.uk
UNIVERSITY OF BRISTOL,University of Bristol,bristol.ac.uk
UPM SALES OY,Upm Sales Oy,upm.com
UST GLOBAL PRIVATE LIMITED,Ust Global,ust.com
UTTLESFORD DISTRICT COUNCIL,Uttlesford District Council,uttlesford.gov.uk
VA PROPCO LIMITED,Hts Propco Ltd.,
VAIL WILLIAMS LLP,Vail Williams LLP,vailwilliams.com
VALE OF WHITE HORSE DISTRICT COUNCI,Vale of White Horse District Council,whitehorsedc.gov.uk
VALENCIA INVESTMENTS LIMITED,Shalimar Investments Ltd.,
VALENDEX LIMITED,Valendex Ltd.,
VALLEY HEALTHCARE FUND,Valley Healthcare Fund,
VANFAME DEVELOPMENTS LIMITED,Vanfame Developments Ltd.,
VDBM CHARTERED SURVEYORS,Ng Chartered Surveyors,
VELSWOOD LIMITED,Velswood Ltd.,
VENUES AND EVENTS INTERNATIONAL,Venues & Events International,
VENUS PROJECTS UK LIMITED,Venus Projects,
VEOLIA ENVIRONMENTAL SERVICES UK PL,Veolia Water Projects,veolia.com
VEOLIA WATER PROJECTS LIMITED,Veolia Water Projects,veolia.com
VERITAS PARTNERSHIP LIMITED,Veritas Partnership Ltd.,
VERITEK GLOBAL LIMITED,Veritek Global Ltd.,
VEROVIAN CONSULTANCY LTD,Verovian Consultancy Ltd.,
VERTICAL SUNROOMS LIMITED,Vertical Sunrooms Ltd.,
VERTIV INFRASTRUCTURE LIMITED,Vertiv Infrastructure Ltd.,vertiv.com
VERVE PARTNERS LIMITED,Verve Partners Ltd.,
VESPACE INTERNATIONAL LIMITED,Vespace International Ltd.,
VEVAY MANAGEMENT LIMITED,Right Management,rightmanagement.com
VIAPATH ANALYTICS LLP,Viapath Analytics,
VICI DEVELOPMENTS LIMITED,Marlin Developments Ltd.,
VICKERY HOLMAN LIMITED,Vickery Holman Ltd.,
VICTORIA SQUARE WOKING LIMITED,Victoria Square Woking Ltd.,
VILLA AND PARTNERS EXECUTIVE SEARCH SRL,Villa & Partners Executive Search,
VINAYAK PROPERTIES LIMITED,Vinayak Properties Ltd.,
VINDEX SYSTEMS LIMITED,Vindex Systems Ltd.,
VINE HEALTH SUITES LIMITED,Vine Health Suites Ltd.,
VINERS CAPITAL PROPERTIES LIMITED,Vinters Capital Properties,
VISCOUNT COWDRAY - COWDRAY ESTATE,Cowdray Estate,cowdray.co.uk
VISHAL SATISHKUMAR PATEL,Vishal Satishkumar Patel,
VISION GLASS LIMITED,Vision Glass Ltd.,
VISUAL TOURIST PENSION FUND,Visual Tourist Pension Fund,
VISURE LIMITED,Visure Ltd.,
VIVID EXECUTIVE SEARCH LIMITED,Vivid Executive Search Ltd.,
VUUKLE LIMITED,Vuukle Ltd.,vuukle.com
W &  J LINNEY LIMITED,W & J Linney Ltd.,
W AND J LINNEY LIMITED,W & J Linney Ltd.,
W AND J LINNEY LIMITED TA LINNEY PR,W & J Linney Ltd.,
W D KING LIMITED,W D King Ltd.,
W G SILVERTON AND CO LIMITED,W. G. Silverton & Co. Ltd.,
W J DANIEL AND COMPANY LIMITED,W J Daniel & Co. Ltd.,
W MOWAT,W Mowat,
"W.K.WEST, LIMITED",W K West Ltd.,
WADHAM & ISHERWOOD,Wadham & Isherwood,
WAITROSE LIMITED,Waitrose Ltd.,waitrose.com
WALGREEN COMPANY,Walgreens,walgreens.com
WALGREENS BOOTS ALLIANCE ASIA SOURC,Walgreens Boots Alliance Services,walgreensbootsalliance.com
WALGREENS BOOTS ALLIANCE INC,Walgreens Boots Alliance Services,walgreensbootsalliance.com
WALGREENS BOOTS ALLIANCE SERVICES,Walgreens Boots Alliance Services,walgreensbootsalliance.com
WALKER DENDLE LIMITED,Walker Dendle Ltd.,
WALLACE ENTERPRISES LIMITED,Wallace Enterprises Ltd.,
WALSALL METROPOLITAN BOROUGH COUNCI,Walsall Metropolitan Borough Council,walsall.gov.uk
WALTON GOODLAND LIMITED,Walton Goodland Ltd.,
WALTON NAZE LIMITED,Walton Naze Ltd.,
WANDERSLORE PENSION SCHEME,Wanderslore Pension Scheme,
WANDSWORTH COUNCIL,Wandsworth Council,wandsworth.gov.uk
WARBURG HIH INVEST REAL ESTATE GMBH,Warburg Hih Invest Real Estate Gmbh,warburg-hih.com
WARNER BROS CONSUMER PRODUCTS UK A,Warner Bros Consumer Products,warnerbros.com
WARRINGTON BOROUGH COUNCIL,Warrington Borough Council,warrington.gov.uk
WARWICK DISTRICT COUNCIL,Hart District Council,harlow.gov.uk
WASTECARE COMPLIANCE PLC,Wastecare Compliance PLC,
WATCH ME THINK (UK) LIMITED,Watch Me Think Ltd.,
WATER PLUS LIMITED,Water Plus Ltd.,
WATERBRIDGE LIMITED,Waterbridge Ltd.,
WATERS CHARTERED SURVEYORS,Ratcliffes Chartered Surveyors,
WATERSCAN LIMITED,Waterscan Ltd.,
WATFORD BOROUGH COUNCIL,Watford Borough Council,dartford.gov.uk
WAVERLEY BOROUGH COUNCIL,Swale Borough Council,swale.gov.uk
WBA IT SERVICES INTERNATIONAL LIMIT,Wba IT Services International Ltd.,
WCEC GROUP LIMITED,Wcec Group Ltd.,
WE BLACK LIMITED,We Black Ltd.,
WEALDEN DISTRICT COUNCIL,Wealden District Council,wealden.gov.uk
WEB PHARMACY LIMITED,Web Pharmacy Ltd.,
WEBFLEET SOLUTIONS SALES B V,Webfleet Solutions,webfleet.com
WELCOME ESTATES LIMITED,Limes Estates Ltd.,
WELTON BIBBY & BARON,Welton Bibby & Baron,
WELTON BIBBY AND BARON LIMITED,Welton Bibby & Baron Ltd.,
WELWYN HATFIELD COUNCIL,Welwyn Hatfield Council,welwynhatfield.gov.uk
WESSEX ESTATES LIMITED,Wessex Estates Ltd.,
WESSEX HERITAGE LIMITED,Wessex Heritage Ltd.,
WEST BAY ASSET MANAGEMENT LIMITED,Levy Asset Management Ltd.,
WEST BERKSHIRE COUNCIL,West Berkshire Council,westberkshire.gov.uk
WEST DEVON BOROUGH COUNCIL,West Devon Borough Council,westdevon.gov.uk
WEST DUMBARTONSHIRE COUNCIL,West Dunbartonshire Council,eastdunbarton.gov.uk
WEST HOTELS LIMITED,West Hotels Ltd.,
WEST LANCASHIRE DISTRICT COUNCIL,West Lindsey District Council,westlindsey.gov.uk
WEST LINDSEY DISTRICT COUNCIL,West Lindsey District Council,westlindsey.gov.uk
WEST LOTHIAN COUNCIL,West Lothian Council,westlothian.gov.uk
WEST OXFORDSHIRE DISTRICT COUNCIL,East Hertfordshire District Council,eastherts.gov.uk
WEST SUFFOLK COUNCIL,East Suffolk Council,eastsuffolk.gov.uk
WEST WIRRAL GROUP PRACTICE,West Wirral Group Practice,
WESTBARN ESTATES LIMITED,Westbarn Estates Ltd.,
WESTERN COMPUTER GROUP LIMITED,Western Computer Group,
WESTERN TRADING STORE LIMITED,Western Trading Store,
WESTFIELD SHOPPINGTOWNS LIMITED,Westfield Shoppingtowns,westfield.com
WESTMORLAND AND FURNESS COUNCIL,Westmorland & Furness Council,westmorlandandfurness.gov.uk
WESTPACK MIDLANDS,Westpack Midlands,
WESTPORT SHOPPING CENTRE MGMT CO LT,Westport Shopping Centre Management Co. Ltd.,
WG SILVERTON & CO LTD,Wg Silverton & Co.,
WHITE AND SONS,White and Sons,
WHITE CITY CCH LIMITED,White City Cch Ltd.,
WHITE DRUCE AND BROWN LIMITED,White Druce and Brown Ltd.,
WHYBROW AND DODDS LIMITED,Whybrow & Dodds Ltd.,
WIGAN COUNCIL,Wigan Council,
WILDER ONE LIMITED,Wilder One Ltd.,
WILLIAM FRY,William Fry,
WILLIAM MAJOR LIMITED,William Major Ltd.,
WILLIAM WEST & SONS ILKESTON LIMITE,William West & Sons,
WILLIS INVESTMENTS LIMITED,First Investments Ltd.,
WILLOW MANAGEMENT,Willow Management,
WILLSON & BROWN,Willson & Brown,
WILLSON AND BROWN SP ZOO,Willson and Brown Sp. Z O. o.,
WILLSON AND BROWN WB SP Z O O SP K,Willson and Brown Wb Sp. Z O. o.,
WILTSHIRE COUNCIL,Wiltshire Council,wiltshire.gov.uk
WINCHESTER CITY COUNCIL,Leicester City Council,leicester.gov.uk
WINDMILL HEATH LIMITED,Windmill Heath Ltd.,
WINDSOR DERMATOLOGY LIMITED,Windsor Dermatology Ltd.,
WINTER PHOENIX LIMITED PARTNERSHIP,Winter Phoenix Ltd.,
WINWIN ESTATES LIMITED,Winwin Estates Ltd.,
WIOSS WITRON ON SITE SERVICES GMBH,Witron Service Gmbh,witron.com
WITRON,Witron Service Gmbh,witron.com
WITRON SERVICE GMBH AND CO KG,Witron Service Gmbh,witron.com
WK SUB 1 LIMITED,Wk Sub 1 Ltd.,
WK360 LIMITED,Wk360 Ltd.,
WK360 LTD,Wk360 Ltd.,
WL MANAGEMENT LIMITED,Right Management,rightmanagement.com
WOKING BOROUGH COUNCIL,Woking Borough Council,woking.gov.uk
WOKINGHAM DISTRICT COUNCIL,Wokingham District Council,wokingham.gov.uk
WOLFE PROPERTY SERVICES LTD,Wolfe Property Services,
WOLVERHAMPTON CITY COUNCIL,Wolverhampton City Council,wolverhampton.gov.uk
WOODWARD AND CO ENVIRONMENTAL LIMIT,Woodward & Co.,
WOODWAY (BUNZL GROUP),Woodway,woodway.com
WOODWAY UK LIMITED,Woodway UK Ltd.,
WOOLLEY AND WALLIS LLP,Woolley & Wallis LLP,woolleyandwallis.co.uk
WORCESTER CITY COUNCIL,Leicester City Council,leicester.gov.uk
WORDIE PROPERTIES LIMITED,Lion World Properties Ltd.,
WORKMAN LLP,Workman LLP,
WORKSPACE MANAGEMENT LIMITED,Workspace Management Ltd.,
WORLDPAY LIMITED,Worldpay Ltd.,worldpay.com
WORTHING BOROUGH COUNCIL,Reading Borough Council,reading.gov.uk
WORTHINGTON OWEN LIMITED,Worthington Owen Ltd.,
WPL CONSULTING LLP,Wpl Consulting LLP,
WPP JUBILEE LIMITED,Wpp Jubilee Ltd.,wpp.com
WREXHAM COUNTY BOROUGH COUNCIL,Wrexham County Borough Council,wrexham.gov.uk
WSBQ CO OWNERSHIP,Wsbq Co.,
WYCHAVON DISTRICT COUNCIL,Wychavon District Council,wychavon.gov.uk
WYMONDHAM MEDICAL PARTNERSHIP,Wymondham Medical Partnership,
WYRE BOROUGH COUNCIL,Swale Borough Council,swale.gov.uk
WYRE FOREST DISTRICT COUNCIL,New Forest District Council,eppingforestdc.gov.uk
XACT PACKING LIMITED,Xact Packing Ltd.,
XCEDE RECRUITMENT,Xcede Recruitment,
XPO TRANSPORT SOLUTIONS UK LIMITED,Xpo Transport Solutions,xpotransport.com
YEUNG COMMERCIAL LIMITED,Sej Commercial Ltd.,
YOOBIC LIMITED,Yoobic Ltd.,yoobic.com
